date,year,month,month_name,category,turnover_m
2007-01-01,2007,1,Jan,"Cafes, restaurants and takeaway food services",2097.1
2007-02-01,2007,2,Feb,"Cafes, restaurants and takeaway food services",1939.0
2007-03-01,2007,3,Mar,"Cafes, restaurants and takeaway food services",2191.9
2007-04-01,2007,4,Apr,"Cafes, restaurants and takeaway food services",2134.0
2007-05-01,2007,5,May,"Cafes, restaurants and takeaway food services",2145.5
2007-06-01,2007,6,Jun,"Cafes, restaurants and takeaway food services",2133.8
2007-07-01,2007,7,Jul,"Cafes, restaurants and takeaway food services",2178.4
2007-08-01,2007,8,Aug,"Cafes, restaurants and takeaway food services",2257.9
2007-09-01,2007,9,Sep,"Cafes, restaurants and takeaway food services",2179.5
2007-10-01,2007,10,Oct,"Cafes, restaurants and takeaway food services",2257.3
2007-11-01,2007,11,Nov,"Cafes, restaurants and takeaway food services",2284.6
2007-12-01,2007,12,Dec,"Cafes, restaurants and takeaway food services",2461.1
2008-01-01,2008,1,Jan,"Cafes, restaurants and takeaway food services",2163.5
2008-02-01,2008,2,Feb,"Cafes, restaurants and takeaway food services",2086.7
2008-03-01,2008,3,Mar,"Cafes, restaurants and takeaway food services",2159.4
2008-04-01,2008,4,Apr,"Cafes, restaurants and takeaway food services",2148.2
2008-05-01,2008,5,May,"Cafes, restaurants and takeaway food services",2176.7
2008-06-01,2008,6,Jun,"Cafes, restaurants and takeaway food services",2089.9
2008-07-01,2008,7,Jul,"Cafes, restaurants and takeaway food services",2172.6
2008-08-01,2008,8,Aug,"Cafes, restaurants and takeaway food services",2204.0
2008-09-01,2008,9,Sep,"Cafes, restaurants and takeaway food services",2124.2
2008-10-01,2008,10,Oct,"Cafes, restaurants and takeaway food services",2302.4
2008-11-01,2008,11,Nov,"Cafes, restaurants and takeaway food services",2242.8
2008-12-01,2008,12,Dec,"Cafes, restaurants and takeaway food services",2479.4
2009-01-01,2009,1,Jan,"Cafes, restaurants and takeaway food services",2318.3
2009-02-01,2009,2,Feb,"Cafes, restaurants and takeaway food services",2069.5
2009-03-01,2009,3,Mar,"Cafes, restaurants and takeaway food services",2303.2
2009-04-01,2009,4,Apr,"Cafes, restaurants and takeaway food services",2326.9
2009-05-01,2009,5,May,"Cafes, restaurants and takeaway food services",2401.7
2009-06-01,2009,6,Jun,"Cafes, restaurants and takeaway food services",2263.0
2009-07-01,2009,7,Jul,"Cafes, restaurants and takeaway food services",2415.1
2009-08-01,2009,8,Aug,"Cafes, restaurants and takeaway food services",2446.1
2009-09-01,2009,9,Sep,"Cafes, restaurants and takeaway food services",2430.7
2009-10-01,2009,10,Oct,"Cafes, restaurants and takeaway food services",2602.0
2009-11-01,2009,11,Nov,"Cafes, restaurants and takeaway food services",2569.9
2009-12-01,2009,12,Dec,"Cafes, restaurants and takeaway food services",2897.1
2010-01-01,2010,1,Jan,"Cafes, restaurants and takeaway food services",2521.3
2010-02-01,2010,2,Feb,"Cafes, restaurants and takeaway food services",2323.9
2010-03-01,2010,3,Mar,"Cafes, restaurants and takeaway food services",2607.5
2010-04-01,2010,4,Apr,"Cafes, restaurants and takeaway food services",2535.8
2010-05-01,2010,5,May,"Cafes, restaurants and takeaway food services",2571.4
2010-06-01,2010,6,Jun,"Cafes, restaurants and takeaway food services",2504.9
2010-07-01,2010,7,Jul,"Cafes, restaurants and takeaway food services",2781.3
2010-08-01,2010,8,Aug,"Cafes, restaurants and takeaway food services",2800.0
2010-09-01,2010,9,Sep,"Cafes, restaurants and takeaway food services",2742.8
2010-10-01,2010,10,Oct,"Cafes, restaurants and takeaway food services",2730.2
2010-11-01,2010,11,Nov,"Cafes, restaurants and takeaway food services",2684.4
2010-12-01,2010,12,Dec,"Cafes, restaurants and takeaway food services",3021.1
2011-01-01,2011,1,Jan,"Cafes, restaurants and takeaway food services",2598.2
2011-02-01,2011,2,Feb,"Cafes, restaurants and takeaway food services",2391.3
2011-03-01,2011,3,Mar,"Cafes, restaurants and takeaway food services",2648.9
2011-04-01,2011,4,Apr,"Cafes, restaurants and takeaway food services",2598.9
2011-05-01,2011,5,May,"Cafes, restaurants and takeaway food services",2604.1
