date,year,month,month_name,quarter,fy_year,fy_label
2007-06-01,2007,6,Jun,2,2006,FY06/07
2007-07-01,2007,7,Jul,3,2007,FY07/08
2007-08-01,2007,8,Aug,3,2007,FY07/08
2007-09-01,2007,9,Sep,3,2007,FY07/08
2007-10-01,2007,10,Oct,4,2007,FY07/08
2007-11-01,2007,11,Nov,4,2007,FY07/08
2007-12-01,2007,12,Dec,4,2007,FY07/08
2008-01-01,2008,1,Jan,1,2007,FY07/08
2008-02-01,2008,2,Feb,1,2007,FY07/08
2008-03-01,2008,3,Mar,1,2007,FY07/08
2008-04-01,2008,4,Apr,2,2007,FY07/08
2008-05-01,2008,5,May,2,2007,FY07/08
2008-06-01,2008,6,Jun,2,2007,FY07/08
2008-07-01,2008,7,Jul,3,2008,FY08/09
2008-08-01,2008,8,Aug,3,2008,FY08/09
2008-09-01,2008,9,Sep,3,2008,FY08/09
2008-10-01,2008,10,Oct,4,2008,FY08/09
2008-11-01,2008,11,Nov,4,2008,FY08/09
2008-12-01,2008,12,Dec,4,2008,FY08/09
2009-01-01,2009,1,Jan,1,2008,FY08/09
2009-02-01,2009,2,Feb,1,2008,FY08/09
2009-03-01,2009,3,Mar,1,2008,FY08/09
2009-04-01,2009,4,Apr,2,2008,FY08/09
2009-05-01,2009,5,May,2,2008,FY08/09
2009-06-01,2009,6,Jun,2,2008,FY08/09
2009-07-01,2009,7,Jul,3,2009,FY09/10
2009-08-01,2009,8,Aug,3,2009,FY09/10
2009-09-01,2009,9,Sep,3,2009,FY09/10
2009-10-01,2009,10,Oct,4,2009,FY09/10
2009-11-01,2009,11,Nov,4,2009,FY09/10
2009-12-01,2009,12,Dec,4,2009,FY09/10
2010-01-01,2010,1,Jan,1,2009,FY09/10
2010-02-01,2010,2,Feb,1,2009,FY09/10
2010-03-01,2010,3,Mar,1,2009,FY09/10
2010-04-01,2010,4,Apr,2,2009,FY09/10
2010-05-01,2010,5,May,2,2009,FY09/10
2010-06-01,2010,6,Jun,2,2009,FY09/10
2010-07-01,2010,7,Jul,3,2010,FY10/11
2010-08-01,2010,8,Aug,3,2010,FY10/11
2010-09-01,2010,9,Sep,3,2010,FY10/11
2010-10-01,2010,10,Oct,4,2010,FY10/11
2010-11-01,2010,11,Nov,4,2010,FY10/11
2010-12-01,2010,12,Dec,4,2010,FY10/11
2011-01-01,2011,1,Jan,1,2010,FY10/11
2011-02-01,2011,2,Feb,1,2010,FY10/11
2011-03-01,2011,3,Mar,1,2010,FY10/11
2011-04-01,2011,4,Apr,2,2010,FY10/11
2011-05-01,2011,5,May,2,2010,FY10/11
2011-06-01,2011,6,Jun,2,2010,FY10/11
2011-07-01,2011,7,Jul,3,2011,FY11/12
2011-08-01,2011,8,Aug,3,2011,FY11/12
2011-09-01,2011,9,Sep,3,2011,FY11/12
2011-10-01,2011,10,Oct,4,2011,FY11/12
2011-11-01,2011,11,Nov,4,2011,FY11/12
2011-12-01,2011,12,Dec,4,2011,FY11/12
2012-01-01,2012,1,Jan,1,2011,FY11/12
2012-02-01,2012,2,Feb,1,2011,FY11/12
2012-03-01,2012,3,Mar,1,2011,FY11/12
2012-04-01,2012,4,Apr,2,2011,FY11/12
2012-05-01,2012,5,May,2,2011,FY11/12
2012-06-01,2012,6,Jun,2,2011,FY11/12
2012-07-01,2012,7,Jul,3,2012,FY12/13
2012-08-01,2012,8,Aug,3,2012,FY12/13
2012-09-01,2012,9,Sep,3,2012,FY12/13
2012-10-01,2012,10,Oct,4,2012,FY12/13
2012-11-01,2012,11,Nov,4,2012,FY12/13
2012-12-01,2012,12,Dec,4,2012,FY12/13
2013-01-01,2013,1,Jan,1,2012,FY12/13
2013-02-01,2013,2,Feb,1,2012,FY12/13
2013-03-01,2013,3,Mar,1,2012,FY12/13
2013-04-01,2013,4,Apr,2,2012,FY12/13
2013-05-01,2013,5,May,2,2012,FY12/13
2013-06-01,2013,6,Jun,2,2012,FY12/13
2013-07-01,2013,7,Jul,3,2013,FY13/14
2013-08-01,2013,8,Aug,3,2013,FY13/14
2013-09-01,2013,9,Sep,3,2013,FY13/14
2013-10-01,2013,10,Oct,4,2013,FY13/14
2013-11-01,2013,11,Nov,4,2013,FY13/14
2013-12-01,2013,12,Dec,4,2013,FY13/14
2014-01-01,2014,1,Jan,1,2013,FY13/14
2014-02-01,2014,2,Feb,1,2013,FY13/14
2014-03-01,2014,3,Mar,1,2013,FY13/14
2014-04-01,2014,4,Apr,2,2013,FY13/14
2014-05-01,2014,5,May,2,2013,FY13/14
2014-06-01,2014,6,Jun,2,2013,FY13/14
2014-07-01,2014,7,Jul,3,2014,FY14/15
2014-08-01,2014,8,Aug,3,2014,FY14/15
2014-09-01,2014,9,Sep,3,2014,FY14/15
2014-10-01,2014,10,Oct,4,2014,FY14/15
2014-11-01,2014,11,Nov,4,2014,FY14/15
2014-12-01,2014,12,Dec,4,2014,FY14/15
2015-01-01,2015,1,Jan,1,2014,FY14/15
2015-02-01,2015,2,Feb,1,2014,FY14/15
2015-03-01,2015,3,Mar,1,2014,FY14/15
2015-04-01,2015,4,Apr,2,2014,FY14/15
2015-05-01,2015,5,May,2,2014,FY14/15
2015-06-01,2015,6,Jun,2,2014,FY14/15
2015-07-01,2015,7,Jul,3,2015,FY15/16
2015-08-01,2015,8,Aug,3,2015,FY15/16
2015-09-01,2015,9,Sep,3,2015,FY15/16
2015-10-01,2015,10,Oct,4,2015,FY15/16
2015-11-01,2015,11,Nov,4,2015,FY15/16
2015-12-01,2015,12,Dec,4,2015,FY15/16
2016-01-01,2016,1,Jan,1,2015,FY15/16
2016-02-01,2016,2,Feb,1,2015,FY15/16
2016-03-01,2016,3,Mar,1,2015,FY15/16
2016-04-01,2016,4,Apr,2,2015,FY15/16
2016-05-01,2016,5,May,2,2015,FY15/16
2016-06-01,2016,6,Jun,2,2015,FY15/16
2016-07-01,2016,7,Jul,3,2016,FY16/17
2016-08-01,2016,8,Aug,3,2016,FY16/17
2016-09-01,2016,9,Sep,3,2016,FY16/17
2016-10-01,2016,10,Oct,4,2016,FY16/17
2016-11-01,2016,11,Nov,4,2016,FY16/17
2016-12-01,2016,12,Dec,4,2016,FY16/17
2017-01-01,2017,1,Jan,1,2016,FY16/17
2017-02-01,2017,2,Feb,1,2016,FY16/17
2017-03-01,2017,3,Mar,1,2016,FY16/17
2017-04-01,2017,4,Apr,2,2016,FY16/17
2017-05-01,2017,5,May,2,2016,FY16/17
2017-06-01,2017,6,Jun,2,2016,FY16/17
2017-07-01,2017,7,Jul,3,2017,FY17/18
2017-08-01,2017,8,Aug,3,2017,FY17/18
2017-09-01,2017,9,Sep,3,2017,FY17/18
2017-10-01,2017,10,Oct,4,2017,FY17/18
2017-11-01,2017,11,Nov,4,2017,FY17/18
2017-12-01,2017,12,Dec,4,2017,FY17/18
2018-01-01,2018,1,Jan,1,2017,FY17/18
2018-02-01,2018,2,Feb,1,2017,FY17/18
2018-03-01,2018,3,Mar,1,2017,FY17/18
2018-04-01,2018,4,Apr,2,2017,FY17/18
2018-05-01,2018,5,May,2,2017,FY17/18
2018-06-01,2018,6,Jun,2,2017,FY17/18
2018-07-01,2018,7,Jul,3,2018,FY18/19
2018-08-01,2018,8,Aug,3,2018,FY18/19
2018-09-01,2018,9,Sep,3,2018,FY18/19
2018-10-01,2018,10,Oct,4,2018,FY18/19
2018-11-01,2018,11,Nov,4,2018,FY18/19
2018-12-01,2018,12,Dec,4,2018,FY18/19
2019-01-01,2019,1,Jan,1,2018,FY18/19
2019-02-01,2019,2,Feb,1,2018,FY18/19
2019-03-01,2019,3,Mar,1,2018,FY18/19
2019-04-01,2019,4,Apr,2,2018,FY18/19
2019-05-01,2019,5,May,2,2018,FY18/19
2019-06-01,2019,6,Jun,2,2018,FY18/19
2019-07-01,2019,7,Jul,3,2019,FY19/20
2019-08-01,2019,8,Aug,3,2019,FY19/20
2019-09-01,2019,9,Sep,3,2019,FY19/20
